hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
Resort Hotel,0,78,2015,July,27,1,2,5,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,5,,0,Transient,64,1,0,Check-Out,7/8/2015
Resort Hotel,0,48,2015,July,27,1,2,5,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8,,0,Contract,80,0,0,Check-Out,7/8/2015
Resort Hotel,1,60,2015,July,27,1,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,107,0,2,Canceled,5/11/2015
Resort Hotel,0,77,2015,July,27,1,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,94,0,0,Check-Out,7/8/2015
Resort Hotel,0,99,2015,July,27,1,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,,0,Transient,87,1,1,Check-Out,7/8/2015
Resort Hotel,0,118,2015,July,27,1,4,10,1,0,0,BB,,Direct,Direct,0,0,0,A,A,2,No Deposit,,,0,Transient,62,0,2,Check-Out,7/15/2015
Resort Hotel,0,95,2015,July,27,1,4,11,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,241,,0,Transient,64,0,0,Check-Out,7/16/2015
Resort Hotel,1,96,2015,July,27,1,2,8,2,0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,,,0,Transient,108,0,2,Canceled,5/29/2015
Resort Hotel,0,69,2015,July,27,2,2,4,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,175,,0,Transient,66,0,0,Check-Out,7/8/2015
Resort Hotel,1,45,2015,July,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,,0,Transient,109,0,1,Canceled,5/19/2015
Resort Hotel,1,40,2015,July,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,,0,Transient,109,0,1,Canceled,6/19/2015
Resort Hotel,0,15,2015,July,27,2,1,3,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,,0,Transient,98,0,0,Check-Out,7/6/2015
Resort Hotel,0,36,2015,July,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,,0,Transient,109,0,1,Check-Out,7/6/2015
Resort Hotel,1,43,2015,July,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,,0,Transient,109,0,0,Canceled,5/23/2015
Resort Hotel,0,70,2015,July,27,2,2,3,2,0,0,HB,ROU,Direct,Direct,0,0,0,E,E,0,No Deposit,250,,0,Transient,137,0,1,Check-Out,7/7/2015
Resort Hotel,1,45,2015,July,27,2,2,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,241,,0,Transient,118,0,0,Canceled,5/18/2015
Resort Hotel,0,45,2015,July,27,2,2,3,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8,,0,Contract,80,0,0,Check-Out,7/7/2015
Resort Hotel,0,16,2015,July,27,2,2,3,2,0,0,BB,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,,,0,Transient,123,0,0,Check-Out,7/7/2015
Resort Hotel,0,70,2015,July,27,2,2,3,2,0,0,HB,ROU,Direct,Direct,0,0,0,E,E,0,No Deposit,250,,0,Transient,137,0,1,Check-Out,7/7/2015
Resort Hotel,0,107,2015,July,27,2,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,111,0,2,Check-Out,7/9/2015
Resort Hotel,1,47,2015,July,27,2,2,5,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,,0,Transient,153,0,0,Canceled,6/2/2015
Resort Hotel,0,96,2015,July,27,2,2,5,2,0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,134,,0,Transient,59,0,1,Check-Out,7/9/2015
Resort Hotel,0,113,2015,July,27,2,2,5,2,0,0,BB,NOR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,156,,0,Transient-Party,83,0,2,Check-Out,7/9/2015
Resort Hotel,0,90,2015,July,27,2,2,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,B,1,No Deposit,243,,0,Contract,82,0,0,Check-Out,7/9/2015
Resort Hotel,0,50,2015,July,27,2,2,5,2,0,0,HB,IRL,Online TA,TA/TO,0,0,0,E,F,1,No Deposit,241,,0,Transient,119,0,1,Check-Out,7/9/2015
Resort Hotel,0,113,2015,July,27,2,2,5,2,0,0,BB,NOR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,156,,0,Transient-Party,68,0,2,Check-Out,7/9/2015
Resort Hotel,0,93,2015,July,27,2,3,8,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,156,,0,Contract,56,0,0,Check-Out,7/13/2015
Resort Hotel,0,76,2015,July,27,2,4,10,2,0,0,BB,OMN,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,243,,0,Contract,111,0,0,Check-Out,7/16/2015
Resort Hotel,0,3,2015,July,27,2,0,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,,0,Transient,88,1,0,Check-Out,7/3/2015
Resort Hotel,0,1,2015,July,27,2,0,1,2,0,0,BB,ARG,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240,,0,Transient,147,1,0,Check-Out,7/3/2015
Resort Hotel,0,1,2015,July,27,2,0,1,2,2,0,BB,ESP,Direct,Direct,0,0,0,C,C,0,No Deposit,,,0,Transient,107,1,2,Check-Out,7/3/2015
Resort Hotel,0,0,2015,July,27,2,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,H,H,0,No Deposit,,,0,Transient,147,0,0,Check-Out,7/3/2015
Resort Hotel,0,0,2015,July,27,2,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240,,0,Transient,118,0,2,Check-Out,7/3/2015
Resort Hotel,0,0,2015,July,27,2,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,G,G,0,No Deposit,,,0,Transient,123,0,0,Check-Out,7/3/2015
Resort Hotel,0,14,2015,July,27,2,0,2,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,242,,0,Transient,98,0,1,Check-Out,7/4/2015
Resort Hotel,0,10,2015,July,27,2,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,241,,0,Transient,118,0,0,Check-Out,7/4/2015
Resort Hotel,0,5,2015,July,27,2,0,2,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,135,1,2,Check-Out,7/4/2015
Resort Hotel,0,17,2015,July,27,2,0,3,2,0,0,BB,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,250,,0,Transient,133,0,1,Check-Out,7/5/2015
Resort Hotel,0,93,2015,July,27,2,0,3,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,115,,0,Contract,59,0,0,Check-Out,7/5/2015
Resort Hotel,1,3,2015,July,27,2,0,3,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,136,0,2,Canceled,6/29/2015
Resort Hotel,0,10,2015,July,27,3,0,2,2,2,0,BB,USA,Online TA,TA/TO,0,0,0,G,H,0,No Deposit,240,,0,Transient,153,1,0,Check-Out,7/5/2015
Resort Hotel,0,3,2015,July,27,3,0,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,,0,Transient,111,0,0,Check-Out,7/5/2015
Resort Hotel,0,51,2015,July,27,3,0,2,2,0,0,BB,POL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,242,,0,Transient,97,0,0,Check-Out,7/5/2015
Resort Hotel,1,71,2015,July,27,3,0,2,3,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,242,,0,Transient,110,0,2,Canceled,6/16/2015
Resort Hotel,1,63,2015,July,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,82,0,2,Canceled,6/18/2015
Resort Hotel,1,62,2015,July,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,,0,Transient,97,0,1,Canceled,7/3/2015
Resort Hotel,1,101,2015,July,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,74,0,1,Canceled,6/12/2015
Resort Hotel,0,2,2015,July,27,3,0,2,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3,,0,Transient,92,0,0,Check-Out,7/5/2015
Resort Hotel,0,15,2015,July,27,3,0,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,115,0,0,Check-Out,7/5/2015
Resort Hotel,1,51,2015,July,27,3,0,2,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,242,,0,Transient,110,0,0,Canceled,6/9/2015
Resort Hotel,0,3,2015,July,27,3,1,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,91,1,0,Check-Out,7/6/2015
Resort Hotel,1,48,2015,July,27,3,1,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,123,0,0,Canceled,5/26/2015
Resort Hotel,0,2,2015,July,27,3,2,2,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,122,0,0,Check-Out,7/7/2015
Resort Hotel,0,72,2015,July,27,3,2,2,2,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,105,,0,Transient,111,1,0,Check-Out,7/7/2015
Resort Hotel,0,81,2015,July,27,3,2,6,3,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,5,,0,Transient,86,0,0,Check-Out,7/11/2015
Resort Hotel,0,99,2015,July,27,3,2,7,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40,,0,Contract,59,0,0,Check-Out,7/12/2015
Resort Hotel,1,368,2015,July,27,3,3,7,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40,,0,Contract,56,0,0,Canceled,5/19/2015
Resort Hotel,0,364,2015,July,27,3,3,7,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40,,0,Contract,56,0,0,Check-Out,7/13/2015
Resort Hotel,1,81,2015,July,27,3,3,7,2,0,0,HB,PRT,Direct,Direct,0,0,0,A,A,2,No Deposit,250,,0,Transient,124,0,1,Canceled,6/9/2015
Resort Hotel,0,99,2015,July,27,3,3,7,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,115,,0,Contract,111,0,0,Check-Out,7/13/2015
Resort Hotel,0,324,2015,July,27,3,4,10,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,40,,0,Contract,135,0,0,Check-Out,7/17/2015
Resort Hotel,0,69,2015,July,27,3,4,10,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,1,No Deposit,241,,0,Transient,92,0,1,Check-Out,7/17/2015
Resort Hotel,1,79,2015,July,27,3,6,15,2,1,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,242,,0,Transient,109,0,2,Canceled,4/15/2015
Resort Hotel,0,12,2015,July,27,3,0,1,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,,0,Transient,74,0,0,Check-Out,7/4/2015
Resort Hotel,0,9,2015,July,27,3,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,,0,Transient,98,1,2,Check-Out,7/4/2015
Resort Hotel,0,1,2015,July,27,3,0,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,,0,Transient,131,0,1,Check-Out,7/4/2015
Resort Hotel,0,21,2015,July,27,3,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,123,0,0,Check-Out,7/4/2015
Resort Hotel,0,9,2015,July,27,3,0,1,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,241,,0,Transient,95,0,0,Check-Out,7/4/2015
Resort Hotel,0,109,2015,July,27,3,0,1,2,0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,123,0,2,Check-Out,7/4/2015
Resort Hotel,1,109,2015,July,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,123,0,1,Canceled,5/26/2015
Resort Hotel,1,72,2015,July,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,74,0,1,Canceled,6/29/2015
Resort Hotel,1,63,2015,July,27,3,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,242,,0,Transient,117,0,1,Canceled,5/13/2015
Resort Hotel,0,63,2015,July,27,3,2,5,3,0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,105,,0,Transient,197,0,1,Check-Out,7/10/2015
Resort Hotel,0,101,2015,July,27,3,2,5,2,1,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,,0,Transient,99,1,2,Check-Out,7/10/2015
Resort Hotel,0,102,2015,July,27,3,2,5,2,0,0,BB,DEU,Direct,Direct,0,0,0,E,E,0,No Deposit,250,,0,Transient,91,0,0,Check-Out,7/10/2015
Resort Hotel,0,4,2015,July,27,4,2,1,2,0,0,BB,ESP,Direct,Direct,0,0,0,A,C,0,No Deposit,250,,0,Transient,93,0,1,Check-Out,7/7/2015
Resort Hotel,0,98,2015,July,27,4,2,1,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8,,0,Transient,72,1,0,Check-Out,7/7/2015
Resort Hotel,0,92,2015,July,27,4,2,4,1,2,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,F,F,0,No Deposit,241,,0,Transient,96,0,2,Check-Out,7/10/2015
Resort Hotel,0,95,2015,July,27,4,2,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,,0,Transient,86,1,2,Check-Out,7/10/2015
Resort Hotel,0,102,2015,July,27,4,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,96,0,1,Check-Out,7/11/2015
Resort Hotel,1,26,2015,July,27,4,2,5,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240,,0,Transient,163,0,0,Canceled,6/9/2015
Resort Hotel,1,73,2015,July,27,4,2,5,3,0,0,HB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,250,,0,Transient,172,0,1,Canceled,5/20/2015
Resort Hotel,1,102,2015,July,27,4,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,111,0,1,Canceled,4/22/2015
Resort Hotel,0,115,2015,July,27,4,2,5,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,134,,0,Transient,59,0,1,Check-Out,7/11/2015
Resort Hotel,0,102,2015,July,27,4,2,5,2,0,1,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,74,0,2,Check-Out,7/11/2015
Resort Hotel,0,86,2015,July,27,4,2,5,2,0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,,0,Transient,97,0,2,Check-Out,7/11/2015
Resort Hotel,0,78,2015,July,27,4,2,5,2,0,1,HB,PRT,Online TA,TA/TO,0,0,0,E,F,0,No Deposit,240,,0,Transient,139,0,2,Check-Out,7/11/2015
Resort Hotel,0,52,2015,July,27,4,2,5,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,147,,0,Transient,67,0,0,Check-Out,7/11/2015
Resort Hotel,0,29,2015,July,27,4,2,6,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,241,,0,Transient,117,0,1,Check-Out,7/12/2015
Resort Hotel,1,101,2015,July,27,4,2,6,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,96,0,1,Canceled,5/12/2015
Resort Hotel,0,109,2015,July,27,4,2,6,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,123,0,1,Check-Out,7/12/2015
Resort Hotel,0,92,2015,July,27,4,4,6,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40,,0,Contract,72,0,1,Check-Out,7/14/2015
Resort Hotel,0,92,2015,July,27,4,4,6,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40,,0,Contract,72,0,1,Check-Out,7/14/2015
Resort Hotel,0,79,2015,July,27,4,4,6,2,1,0,HB,PRT,Direct,Direct,0,0,0,D,D,1,No Deposit,250,,0,Transient,149,0,1,Check-Out,7/14/2015
Resort Hotel,0,2,2015,July,27,4,0,1,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,H,G,1,No Deposit,240,,0,Transient,163,1,0,Check-Out,7/5/2015
Resort Hotel,0,30,2015,July,27,4,0,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,C,0,No Deposit,8,,0,Contract,80,0,0,Check-Out,7/5/2015
Resort Hotel,1,51,2015,July,27,4,0,1,1,0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,105,0,0,Canceled,5/29/2015
Resort Hotel,1,36,2015,July,27,4,0,1,1,0,0,BB,PRT,Direct,Direct,0,0,0,E,G,1,No Deposit,250,,0,Transient,123,0,0,No-Show,7/4/2015
Resort Hotel,1,73,2015,July,27,4,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,74,0,2,Canceled,5/13/2015
Resort Hotel,1,33,2015,July,27,4,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,,0,Transient,113,0,0,Canceled,6/16/2015
Resort Hotel,0,32,2015,July,27,4,0,1,4,0,0,FB,PRT,Complementary,Direct,0,0,0,H,H,2,No Deposit,,,0,Transient,0,0,1,Check-Out,7/5/2015
Resort Hotel,0,8,2015,July,27,4,0,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,123,0,0,Check-Out,7/5/2015
Resort Hotel,0,100,2015,July,27,4,1,1,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,,0,Transient-Party,74,1,1,Check-Out,7/6/2015
Resort Hotel,0,1,2015,July,27,4,1,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,115,0,0,Check-Out,7/6/2015
Resort Hotel,0,100,2015,July,27,4,1,1,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient-Party,74,0,2,Check-Out,7/6/2015
Resort Hotel,0,100,2015,July,27,4,1,1,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,,0,Transient-Party,74,0,1,Check-Out,7/6/2015
Resort Hotel,0,9,2015,July,28,5,1,0,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,,0,Transient,88,0,1,Check-Out,7/6/2015
Resort Hotel,1,5,2015,July,28,5,1,0,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,,0,Transient,97,0,0,Canceled,7/1/2015
Resort Hotel,0,0,2015,July,28,5,1,0,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,1,No Deposit,306,,0,Transient,85,0,0,Check-Out,7/6/2015
Resort Hotel,0,9,2015,July,28,5,1,0,1,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,184,,0,Transient,89,0,0,Check-Out,7/6/2015
Resort Hotel,0,2,2015,July,28,5,1,0,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240,,0,Transient,80,0,0,Check-Out,7/6/2015
Resort Hotel,0,2,2015,July,28,5,1,0,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,240,,0,Transient,98,0,0,Check-Out,7/6/2015
Resort Hotel,0,9,2015,July,28,5,1,0,1,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,184,,0,Transient,101,1,0,Check-Out,7/6/2015
Resort Hotel,1,5,2015,July,28,5,1,0,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,,0,Transient,97,0,0,Canceled,7/1/2015
Resort Hotel,0,2,2015,July,28,5,1,0,2,0,0,BB,PRT,Direct,Direct,0,0,0,G,G,0,No Deposit,,,0,Transient,167,0,1,Check-Out,7/6/2015
Resort Hotel,0,44,2015,July,28,5,2,0,3,0,0,HB,PRT,Online TA,TA/TO,0,0,0,G,G,3,No Deposit,240,,0,Transient,225,2,0,Check-Out,7/7/2015
Resort Hotel,0,80,2015,July,28,5,2,0,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,240,,0,Transient,97,1,0,Check-Out,7/7/2015
